=================================================================
TWIN SHORT ENGINE BACKTEST — 2024-06-01 -> 2025-07-01
=================================================================
  Capital: 200,000 | Conf >= 60% | Horizon: 30d
  Momentum: Price < EMA-21, RSI 30-60, Vol > 20d avg

  Loaded 143 stocks
  [64/143] IPCALAB... 2
  [65/143] IRCTC... 0
  [66/143] IRFC... 0
  [67/143] ITC... 0
  [68/143] JINDALSTEL... 0
  [69/143] JKCEMENT... 0
  [70/143] JSWENERGY... 0
  [71/143] JSWSTEEL... 0
  [72/143] JUBLFOOD... 0
  [73/143] KALYANKJIL... 0
  [74/143] KEI... 0
  [75/143] KOTAKBANK... 0
  [76/143] KPITTECH... 1
  [77/143] LALPATHLAB... 0
  [78/143] LICHSGFIN... 0
  [79/143] LICI... 0
  [80/143] LINDEINDIA... 0
  [81/143] LLOYDSME... 0
  [82/143] LT... 3
  [83/143] LTTS... 0
  [84/143] M&M... 0
  [85/143] MANAPPURAM... 0
  [86/143] MARICO... 0
  [87/143] MARUTI... 0
  [88/143] MAXHEALTH... 0
  [89/143] METROPOLIS... 0
  [90/143] MPHASIS... 1
  [91/143] MRF... 0
  [92/143] MUTHOOTFIN... 0
  [93/143] NAM-INDIA... 2
  [94/143] NAUKRI... 0
  [95/143] NESTLEIND... 0
  [96/143] NHPC... 0
  [97/143] NMDC... 1
  [98/143] NTPC... 0
  [99/143] OBEROIRLTY... 2
  [100/143] ONGC... 2
  [101/143] PAGEIND... 0
  [102/143] PERSISTENT... 2
  [103/143] PETRONET... 1
  [104/143] PFC... 0
  [105/143] PHOENIXLTD... 0
  [106/143] PIDILITIND... 0
  [107/143] PNB... 0
  [108/143] POLYCAB... 0
  [109/143] POONAWALLA... 0
  [110/143] POWERGRID... 0
  [111/143] PRESTIGE... 0
  [112/143] RAMCOCEM... 0
  [113/143] RECLTD... 1
  [114/143] RELAXO... 0
  [115/143] RELIANCE... 0
  [116/143] SAIL... 1
  [117/143] SBILIFE... 0
  [118/143] SBIN... 0
  [119/143] SHRIRAMFIN... 0
  [120/143] SJVN... 0
  [121/143] SOLARINDS... 0
  [122/143] SUNDARMFIN... 0
  [123/143] SUNPHARMA... 1
  [124/143] SUNTV... 0
  [125/143] SUPREMEIND... 0
  [126/143] SYNGENE... 0
  [127/143] TATACHEM... 1
  [128/143] TATACONSUM... 0
  [129/143] TATAELXSI... 1
  [130/143] TATASTEEL... 0
  [131/143] TCS... 2
  [132/143] TECHM... 0
  [133/143] THERMAX... 0
  [134/143] TIINDIA... 0
  [135/143] TITAN... 0
  [136/143] TORNTPHARM... 0
  [137/143] TRENT... 1
  [138/143] TVSMOTOR... 0
  [139/143] ULTRACEMCO... 0
  [140/143] VEDL... 1
  [141/143] VOLTAS... 0
  [142/143] WIPRO... 0
  [143/143] ZYDUSLIFE... /Users/lexplosion/Trades/stock-market/backtests/backtest_twin_short.py:314: UserWarning: Converting to PeriodArray/Index representation will drop timezone information.
  sdf['month'] = sdf['entry_date'].dt.to_period('M')
1

  Total short signals: 52
  Range: 2025-04-07 -> 2025-06-20

  Signals by month:
    2025-04: 48 signals
    2025-06: 4 signals

=================================================================
PASS 2: 200,000 portfolio | Short positions | Trailing stops
=================================================================
  [SS] SHORT CUMMINSIND    2735.26 x  10 =  27,353 | Conf: 90% | Tgt: -5.6% | Cash: 172,647
  [SS] SHORT BHARATFORG     964.08 x  31 =  29,887 | Conf: 90% | Tgt: -6.0% | Cash: 142,761
  [SS] SHORT DELHIVERY      251.75 x 119 =  29,958 | Conf: 89% | Tgt: -7.8% | Cash: 112,803
  [SS] SHORT OBEROIRLTY    1527.42 x  19 =  29,021 | Conf: 87% | Tgt: -5.8% | Cash: 83,782
  [SS] SHORT NMDC            61.51 x 487 =  29,955 | Conf: 86% | Tgt: -6.0% | Cash: 53,827
  [SS] SHORT KPITTECH      1108.89 x  27 =  29,940 | Conf: 85% | Tgt: -6.8% | Cash: 23,887
  [S ] SHORT ADANIPORTS    1132.72 x  17 =  19,256 | Conf: 80% | Tgt: -5.6% | Cash: 4,631
  MAX_LOSS BHARATFORG     2d | -3,035 (-10.1%) | Cash: 31,483
  [SS] SHORT LT            3176.82 x   9 =  28,591 | Conf: 86% | Tgt: -7.0% | Cash: 2,891
  MAX_LOSS DELHIVERY      4d | -3,042 (-10.1%) | Cash: 29,807
  MAX_LOSS ADANIPORTS     4d | -1,955 (-10.1%) | Cash: 47,108
  MAX_LOSS NMDC           5d | -3,042 (-10.1%) | Cash: 74,021
  MAX_LOSS OBEROIRLTY     6d | -2,947 (-10.1%) | Cash: 100,095
  MAX_LOSS KPITTECH       7d | -3,040 (-10.1%) | Cash: 126,995
  MAX_LOSS LT            17d | -2,903 (-10.1%) | Cash: 152,683
  MAX_LOSS CUMMINSIND    23d | -2,777 (-10.1%) | Cash: 177,258

  Closing 0 open short positions...

=================================================================
TWIN SHORT ENGINE — FINAL RESULTS
=================================================================
Starting Capital:      200,000
Final Capital:         177,258
TOTAL RETURN:          -22,742 (-11.37%)
Period:             2024-06-01 -> 2025-07-01
Strategy:           Short Engine | Conf>=60% | Momentum | Trailing
-----------------------------------------------------------------
Total Trades:       8
Win Rate:           0.0% (0W / 8L)
-----------------------------------------------------------------
Gross P&L:             -22,642
Total Charges:              99
NET P&L:               -22,742
-----------------------------------------------------------------
Avg Loss:               -2,843
Max Win:                -1,955
Max Loss:               -3,042
Avg Days Held:      8.5
=================================================================

Trade Journal:
----------------------------------------------------------------------------------------------------------------------------------
  [L] BHARATFORG   | 2025-04-09 -> 2025-04-15 |   2d |  29,887 |   -3,035 (-10.1%) | Max Loss Stop (10%)
  [L] DELHIVERY    | 2025-04-09 -> 2025-04-17 |   4d |  29,958 |   -3,042 (-10.1%) | Max Loss Stop (10%)
  [L] ADANIPORTS   | 2025-04-09 -> 2025-04-17 |   4d |  19,256 |   -1,955 (-10.1%) | Max Loss Stop (10%)
  [L] NMDC         | 2025-04-09 -> 2025-04-21 |   5d |  29,955 |   -3,042 (-10.1%) | Max Loss Stop (10%)
  [L] OBEROIRLTY   | 2025-04-09 -> 2025-04-22 |   6d |  29,021 |   -2,947 (-10.1%) | Max Loss Stop (10%)
  [L] KPITTECH     | 2025-04-09 -> 2025-04-23 |   7d |  29,940 |   -3,040 (-10.1%) | Max Loss Stop (10%)
  [L] CUMMINSIND   | 2025-04-09 -> 2025-05-16 |  23d |  27,353 |   -2,777 (-10.1%) | Max Loss Stop (10%)
  [L] LT           | 2025-04-15 -> 2025-05-12 |  17d |  28,591 |   -2,903 (-10.1%) | Max Loss Stop (10%)

By Exit Reason:
  Max Loss Stop (10%)           : 8 trades | -22,742

Saved to '/Users/lexplosion/Trades/stock-market/backtest_twin_short_trades.csv'
